IsStance,marker,sentence,filename
,able,"The Bank makes headway in the construction of a long-term anti-corruption mechanism, in which no one would dare to corrupt, is [able] to corrupt, or is willing to corrupt, launches the full-scale crackdown on violations of laws and disciplines, improves checks on the exercise on powers, and further enforces strict discipline.",BOC_2022.txt
,able,"The committees are [able] to invite relevant personnel within the Group to attend meetings, and to obtain any information that they require from any other committees and or departments, if they consider necessary, in order to perform their duties.",ANTA_2022.txt
,able,"The committees are provided with sufficient resources to perform their duties and are [able] to seek, at the Company s expenses, independent professional advice as necessary.",ANTA_2022.txt
,able,"Through employee reporting and the involvement of Personal Information Protection Office, we have been [able] to respond and resolve information security incidents in a timely manner.",ANTA_2022.txt
,able,"By adjusting operation schedules, we were [able] to reduce the equipment output.",BMW_2022.txt
,able,"During the process, the management trainees are [able] to find out their own positioning and strengthen skills through practice projects.",FEIHE_2022.txt
,able,"Furthermore, by completing the assessment of transition risks in 2023, we will be [able] to achieve a more comprehensive understanding of the impact of climate change.",BMW_2022.txt
,able,"At the same time, we have provided internal training courses on product knowledge, nutrition and parenting and sales tactics to ensure that consumers will not be misled by marketing, providing them with reli- [able] and accurate nutrition and health information.",FEIHE_2022.txt
,able,"On the road to sustain- [able] and high-quality development, we will strive to build a world-class enterprise!",FEIHE_2022.txt
,able,"By promoting the integration of industry, finance, and tax, the Company was [able] to optimise tax-related business processes, and enhance the policy understanding and application abilities of its tax management personnel, providing a solid foundation for the high-quality development of the Company.",SINOPEC_2022.txt
,able,"Since every single battery replacement needs to take about 3 minutes, the station is [able] to meet the battery replacement demands of 168 electric heavy trucks per day.",SINOPEC_2022.txt
,able,"Feihe has achieved a strategic upgrade that leads the industry and obtained new remark- [able] performance, enhancing its business resilience and competitiveness.",FEIHE_2022.txt
,able,"Through themed speeches, quiz competitions, safety scene plays other forms of activities, employees were [able] to deeply learn and master safety knowledge, promoting innovative development in enterprise safety production and labor protection, while effectively creating a creating a safe and stable production environment for the Company.",MENGNIU_2022.txt
,able,"At the same time, Feihe has accomplished six decades of remark - [able] progress.",FEIHE_2022.txt
,able,"With this PASS card, excellent student developers can pass HONOR s general interview in campus recruitment and are more easily [able] to get offers.",HONOR_2021-2022.txt
,able,"Through the continuous development of high-precision algorithm engines, it is [able] to provide risk alerts for suspected atrial fibrillation, suspected premature beats, and suspected sleep apnoea, providing the first line of defense for the user s heart health.",HONOR_2021-2022.txt
,able,Both elderly and young users should be [able] to use digital products with ease.,HONOR_2021-2022.txt
,able,"The policy outlines 5 principles (PFAST) of AI governance at HONOR Based on 5 principles of AI governance, HONOR has constructed an AI governance system architecture from data governance, model governance and service governance AI businesses should adhere to common human values and ethical principles, respect differences in users' religious beliefs and cultural traditions, and treat different social groups fairly, justly, and inclusively to prevent discrimination and bias Fairness and Justice Accountability AI businesses must strictly comply with laws, regulations, ethical principles, and relevant standards and have the ability to assess, record, and self-prove compliance with the above principles Security and Reliability AI businesses should operate in a robust, secure, and reliable manner, with necessary security measures to safeguard the security of user data and information services and be [able] to resist malicious attacksTransparency and ControlAI businesses must strictly comply with laws, regulations, ethical principles, and relevant standards and have the ability to assess, record, and self-prove compliance with the above principlesAccountability AI business should respect the legitimate rights and interests of users and others over data, take effective measures to control illegal and undesirable information in data, and strengthen the quality management of data training AI Data Governance AI business should establish a full-process model governance mechanism to improve model security and reliability by controlling models operation in introduction, training, optimization and online implementation AI Model Governance AI services should provide transparent and controllable services, turn on the service under users authorization, provide the user with a clear and unambiguous description of the service content, the basics of the algorithms and the personal data being processed, as well as provide a convenient method to exit and turn off the AI service AI Service GovernanceHONOR ESG Report 2023",HONOR_2021-2022.txt
,able,Enterprises that can meet consumers' demand for environmentally friendly products will be [able] to seize the market more quickly.,HONOR_2021-2022.txt
,able,"By establishing an EHS incentive mechanisms, formulating assessment methods with rewards and punishments specified, the Group is [able] to achieve and decompose EHS indicators for better implementation.",CRB_2022.txt
,able,"In respect of the Independent Non- Executive Director appointment of Ms. Xia, the Board has reviewed the qualification and assessed the independence (including the requirements under Rule 3. 13 of the Listing Rules) of Ms. Xia, and the Board is not aware of any circumstance that might influence Ms. Xia in exercising independent judgment, and is satisfied that she has the required character, integrity, independence and experienceto fulfill the role of Independent Non-Executive Director and she will be [able] to maintain an independent view of the Group s affairs.",ANTA_2022.txt
,actually,"By the end of 2022, 12, 100 graduates were [actually] hired by the Bank.",BOC_2022.txt
,aim,Our [aim] is to empower the company 's development and es- tablish a robust ecological chain.,FEIHE_2022.txt
,aim,"These initiatives [aim] to implement graded and differentiated man- agement of suppliers from supplier access, daily management, performance evaluation, and to establish a perfect quality man- agement system for the whole life cycle of procurement and supply.",FEIHE_2022.txt
