IsStance,marker,sentence
,key,Materiality The report has identified key stakeholders and their ESG topics in the preparation process and making targeted disclosures in this report according to the relative importance of their concerns.
,key,Quantitative This report adopts quantitative information to disclose the key performance indicators ( KPI ) in the environmental and social aspects.
,key,"Mengniu joined the Consumer Goods Forum (CGF) and actively participated in promoting key issues in the consumer goods industry such as food safety, social and environmental sustainability, nutrition and health, and end-to-end value chain, contributing Chinese wisdom to the sustainable development of the consumer goods industry."
,key,"In response to key sustainable development topics, the Group has set up Working Group on Responsible Procurement Green Packaging and Working Group on Green Packaging to further improve the performance of the topics."
,key,"Governance-Sustainability19 20 Mengniu 2023 Sustainability Report In 2023, Mengniu held 2 Sustainability Committee meetings, 2 Sustainability Executive Committee meetings and 1 Sustainability Conference to report the progress of sustainable development to the directors and senior management of the Group, and discuss and make decisions on key ESG issues."
,key,"Through various forms such as communication interviews with executives and other relevant parties, and questionnaires, we can better understand the key concerns of stakeholders."
,key,"The first line The third line The second lineIn terms of audit supervision, we adhere to the principle of key control, important risks and effective coverage, sort out key business areas and key management modules from three perspectives that are strategy, operation and support, and carry out supervision and inspection in an orderly manner to effectively promote the Group's risk management level."
,key,"In addition, we strengthened special supervision over key areas and key links such as procurement, sales, marketing, research and development, and expanded the scope of supervision and inspection to overseas business departments, by taking various measures such as special supervision of sales and administrative expenses and procurement bidding, to find out integrity risks, analyze deep-seated causes, and accurately solve problems."
,key,"Mengniu carries out multi-level, multi-field and multi-form compliance empowerment training for directors, supervisors, senior management, management personnel, non-management employees and new employees, covering key areas such as anti-corruption, anti-unfair competition, integrity and compliance, anti-monopoly, performance of directors, supervisors and senior management, personal information protection, environmental protection and compliance."
,key,"For management candidates, we publicized the key points of anti- monopoly, anti-commercial bribery and the Integrity Compliance Manual."
,key,"For personnel in key areas of anti-commercial bribery compliance management, we carried out special compliance training on key points to further enhance the integrity awareness of employees at all levels, and constantly consolidated the defense line of business ethics management."
,key,"Guided by GREEN strategy, we focus on the three key topics of employee well-being, rural revitalization and charity, constantly improve employees' happiness and sense of belonging drive the development of the industrial chain, carry out public welfare and charity activities, and create greater social value through practical actions."
,key,"For successors, we developed Blue Sea project and cultivated more than 600 core management reserve talents, with a view to improving leading talents management capabilities, accelerating the reserve of management talents, outputting key position reserves and continuously enhancing the succession talent pool, through online and in-person training activities, regular coaching, formulation and implementation of personal learning & development plan, job rotation, project practice and other training modes."
,key,"Cultivation of Top-notch Young Talents We have launched the first phase of the strategic international talent training project, with the main purpose of cultivating and improving trainees cross-cultural communication skills, deepening their understanding of international operation, and expanding their global vision, while focusing on sales, supply chain, finance and other core and key job groups."
,key,"At the same time, through the professional qualification and experience map, the Group has clarified the knowledge, ability and key experience required for each professional position and provided clear career development goals and guidance for talents."
,key,"For example, we have launched the Future Star plan for fresh graduates, as a key talent development project to support the realization of Mengniu s future strategy."
,key,"In 2023, Mengniu granted long-term incentives to middle-level and senior management in core and key positions, aiming to drive the Group to achieve long-term strategic goals and realize value sharing."
,key,"The Group also conducted special actions for key risks such as traffic in the factories and gas safety, to discover and solve problems, and ensure that the risks are under control."
,key,"In 2023, we developed 14 online courses on occupational health and safety management, and organized 2 face-to-face training sessions for key populations, with a total of 1, 825 times of people participation of learning."
,key,"The actions identified a total of 13 key ecological and environmental risks, which were subsequently incorporated into the risk map for dynamic tracking management."
