IsStance,marker,sentence,filename
,able,"Through the innovation of craftsmanship, the use of eco-friendly fabrics and the development of sustainable products, we are [able] to enhance the resource efficiency of consumers during the use phase of our products, including the benefits of reducing energy consumption, water consumption, waste generation, GHG emissions, pollution and raw material consumption, increasing product durability or longevity.",ANTA_2023.txt
,able,"By including ESG risk management into the credit granting management process for related credit customers and taking differentiated risk management measures, Ping An Bank is [able] to control ESG risks in credit granting and reinforce ESG risk management in all stages.",PINGAN_2023.txt
,able,"Through these activities, we have been [able] to develop a talent pool for R&D and NEV, and have good interaction and communication with overseas Chinese students.",BMW_2023.txt
,able,"With functions including energy operation, energy statistics, energy optimisation, energy monitoring, and evaluation and analysis, the system was [able] to achieve the goal of realising understandable, manageable, and reducible management of energy consumption.",SINOPEC_2023.txt
,able,"The committees are provided with sufficient resources to perform their duties and are [able] to seek, at the Company s expenses, independent professional advice as necessary.",ANTA_2023.txt
,able,"The committees are [able] to invite relevant personnel within the Company to attend meetings, and to obtain any information that they require from any other committees and or departments, if they consider necessary, in order to perform their duties.",ANTA_2023.txt
,able,"For example, using cement kiln joint disposal technology, we are [able] to use ceramic and iron mud from our engine factories as raw material for cement production through cooperation with third-party cement factories.",BMW_2023.txt
,able,"Through rigorous testing and refinement protocols, we are [able] to precisely calibrate energy requirements, eliminating overconsumption.",BMW_2023.txt
,able,"At the same time, we are [able] to recycle a total volume of 1, 041 t raw material1 through High Voltage Battery closed-loop recycling.",BMW_2023.txt
,able,"Utilising standardised tools from the Responsible Minerals Initiative (RMI), BMW Group is [able] to trace these raw materials back to the smelter.",BMW_2023.txt
,able,"Information Security Incident Response Through employee reporting and the involvement of the Personal Information Protection Office, we have been [able] to respond and resolve information security incidents in a timely manner.",ANTA_2023.txt
,able,"By establishing an EHS incentive mechanisms, formulating assessment methods with rewards and punishments specified, the Group is [able] to achieve and decompose EHS indicators for better implementation.",CRB_2023.txt
,able,"Through in-depth communication with government departments, industry associations, scientific research institutes, universities and colleges, upstream and downstream enterprises, as well as on-site investigation and analysis of the breeding, planting, and production sites of domestic beer barley, the Group was [able] to carry out relevant exploration and practice in terms of supply chain strategic cooperation, new variety research and development testing, and application and promotion of national barley, and was awarded the China Alcoholic Drinks ESG 2022 Excellent Social Welfare Case by the China Alcoholic Drinks Association.",CRB_2023.txt
,able,"Through real-time intelligent monitoring, on-site random inspection, special training, strict assessment, warning conference and other methods, we are [able] to raise food safety awareness of employees, suppliers, related parties and outsourcers.",CRB_2023.txt
,able,"But at the same time, I came up with questions how to shift focus from business to business and management - to be [able] to lead by example to achieve the goals and expectations of the company, but also to manage the team?",HONOR_2023.txt
,able,Both elderly and young users should be [able] to use digital products with ease.,HONOR_2023.txt
,able,"With high-precision automation equipment and information integration system, we are [able] to create an information integration system and bring more high quality and innovative products to consumers in a smarter way.",HONOR_2023.txt
,able,"We promoted the use of new manure treatment processes in our pastures, such as the rapid manure drying system, which is [able] to reduce methane emissions by collecting and burn the methane gas produced by manure fermentation through closed-system treatment.",MENGNIU_2023.txt
,actually,"Special training on product and service sales, complaints handling, and other themes were organised in light of what employees [actually] needed.",BOC_2023.txt
,actually,"Focused on key customer groups such as high-tech enterprises, sci-tech enterprises of small and medium sizes, and small and medium enterprises using special and sophisticated technologies to produce novel and unique products and keenly aware of what sci-tech enterprises [actually] needed, the Bank created a credit approval process and credit evaluation model adapted to the characteristics of sci-tech enterprises, used artificial intelligence, big data, and other information technologies to improve the credit risk assessment capabilities, and provided the accurately layered and categorised support through digital means.",BOC_2023.txt
,aim,"Practice by BOC Environmental (climate-related) policies An overall set of policies With the [aim] to achieve the dual carbon goal of the state, BOC took the 14th Five-Year Plan for Green Finance as the strategic guide to continuously improve the 1 1 N green finance policy system.",BOC_2023.txt
,aim,"With the [aim] of taking roots in county areas and supporting farmers and small-sized enterprises, BOC Fullerton Community Bank was committed to providing modern financial services to small and micro enterprises, self-employed businessmen, the wage-earning class, and rural residents.",BOC_2023.txt
,aim,"Through this event, we [aim] to promote and showcase Mengniu's commitment to ecological and environmental protection while encouraging more participants to engage in the public welfare undertaking of ecological and environmental protection.",MENGNIU_2023.txt
,aim,"By implementing targeted risk mitigation measures, we [aim] to ensure the effectiveness of our risk management and avoidance strategies, thereby significantly reducing their potential impact on our business operations.",PINGAN_2023.txt
,aim,"The [aim] is to safeguard the well-being and happiness of new urban residents, assisting them in achieving their aspirations.",PINGAN_2023.txt
,aim,"Aligning with the national policies on green and low- carbon development, and support for rural development, we [aim] to drive both industry and societal development towards more resource-efficient and community-friendly outcomes through direct equity and debt investments.",PINGAN_2023.txt
,aim,"Through these actions, we [aim] to enhance our role as a corporate citizen, contributing to the shard goal of common prosperity and fulfilling the people's aspiration for a better life.",PINGAN_2023.txt
,aim,"These components [aim] to assist corporate client managers in improving the refinement of the sales process, thereby facilitating project reserves and business implementation.",PINGAN_2023.txt
,aim,"Through continuous improvement of internal communication mechanisms and other measures, we [aim] to continuously enhance overall employee satisfaction with organizational management and increase employee job satisfaction.",PINGAN_2023.txt
,aim,Our [aim] is to cultivate a sustainable supply chain.,FEIHE_2023.txt
,aim,"Any applicable regulatory reporting requirements on social risk assessments, e. g. on modern slavery - please specify which ones None of the above Response The sustainable development philosophy was fully integrated into a series of policies such as the Outline of Development Plan for the 14th Five-Year Plan Period and Long-range Objectives through the Year 2035 of Bank of China, Green Finance Programme of Bank of China for the 14th Five-Year Plan Period of Bank of China Limited, with the [aim] to serve the high-quality development of national economy, society and environment, and actively support the implementation of the UN's SDGs and the Paris Climate Agreement.",BOC_2023.txt
,aim,"Response The sustainable development philosophy was fully integrated into a series of policies such as the Outline of Development Plan for the 14th Five-Year Plan Period and Long-range Objectives through the Year 2035 of Bank of China Limited, Green Finance Programme of Bank of China for the 14th Five-Year Plan Period of Bank of China, with the [aim] to make greater contributions in serving the high-quality development of national economy, society and environment.",BOC_2023.txt
,aim,"Through our independent research initiatives and thorough data analysis, we [aim] to gain a comprehensive understanding of the characteristics and distinctions of Chinese breast milk, providing a theoretical basis for product formulation design.",FEIHE_2023.txt
,aim,"Utilizing comprehensive assessment methods such as evaluations, structured interviews, leaderless group discussions, and case analyses, we [aim] to enhance assessment accuracy and ensure optimal alignment between campus recruits and the Company's needs.",FEIHE_2023.txt
,aim,"Training and support R&D personnel are provided with patent skill training sessions as needed, with the [aim] to enhance their capabilities in patent application and raise awareness of patent protection.",VIVO_2023.txt
,aim,"These initiatives [aim] to help elderly users integrate into the digital age and enjoy a smart, connected life.",VIVO_2023.txt
,aim,These collaborations [aim] to deepen our understanding of the impact of sports on health and to provide a scientific basis for the development of effective and well-informed sports health programs.,VIVO_2023.txt
,aim,"Our [aim] is to protect user data at all points of data circulation and in every aspect of the user experience, thereby guaranteeing the quality and security of our final products and services.",VIVO_2023.txt
,aim,These initiatives [aim] to foster a harmonious and stable workplace.,VIVO_2023.txt
,aim,The [aim] is to create more leading breakthroughs and jointly incubate and research advanced communication technology under long-term and stable industry-academia-research partnerships.,VIVO_2023.txt
,aim,"These initiatives [aim] to increase public participation in information accessibility, environmental protection, and rural aesthetic education.",VIVO_2023.txt
,aim,Our [aim] is to conduct noisy production activities within designated areas within our facil - ities to mitigate disturbances to the surrounding environment.,FEIHE_2023.txt
,aim,"Leveraging Feihe's strengths, we [aim] to contribute to the creation of a new development pattern and a modern industrial system.",FEIHE_2023.txt
,aim,"These efforts [aim] to elevate quality standards across all stages of production and distribution, while further standardizing quality inspection processes to ensure the integrity of raw milk sources from pastures.",FEIHE_2023.txt
,aim,The [aim] was to ensure effective implementation of quality control across all factories.,FEIHE_2023.txt
,aim,"Feihe's inaugural QMS training seminar Feihe's inaugural QMS training seminar In April, 2023, Feihe's WCM quality pillar improvement seminar was held at the Longjiang Factory with the [aim] of addressing issues related to synergy, innovation, and consistency in the operation of the quality pillar.",FEIHE_2023.txt
,aim,"Since 2016, Mengniu has collaborated with various domestic and international universities and research institutes to conduct extensive research on the composition of human milk oligosaccharides (HMOs)28 with the [aim] of assisting the milk powder industry in achieving the localization of key fortification ingredients.",MENGNIU_2023.txt
,aim,Our [aim] is to empower users to explore healthier lifestyle choices.,FEIHE_2023.txt
,aim,The [aim] is to research the application of Chinese infant-derived probiotics in infant formula products.,FEIHE_2023.txt
,aim,Our [aim] is to cultivate a workplace environment that is harmonious and inclusive for all.,FEIHE_2023.txt
,aim,The underlying [aim] of everything we do is to offer ever fresher and more suitable milk for Chinese parents and their children.,FEIHE_2023.txt
,aim,Our [aim] is to promote universal access to sports education and assist the youth in unlocking their potential throughout the process of growing up.,ANTA_2023.txt
,aim,These efforts [aim] to enhance product security and mitigate business security risks.,VIVO_2023.txt
,aim,"The [aim] was to gather insights from employees regarding our performance in respecting individual differences, thinking styles, work preferences, and personal perspectives.",ANTA_2023.txt
,aim,"Through these strategic partnerships, we [aim] to drive the responsible end-of-life processing and value extraction from retired battery packs, strengthening circularity for electrified mobility solutions.",BMW_2023.txt
,aim,"At the same time, our ongoing investments in research and design for remanufactured parts [aim] to expand our offerings to include pumps, and electrical air conditioning compressors.",BMW_2023.txt
,aim,"Through this ecosystem, we [aim] to be a leader in sustainable charging solutions.",BMW_2023.txt
,aim,"Key Foundation Direct donation of cash and sportswear Established the Sturdy Growth Charity Project The founding family of the Group set up the Hemin Foundation Core Value Integrity and Gratitude Vision Becoming a pioneer in fulfilling social responsibilities among Chinese enterprises Area Youth sports education, sports development, medical and health care, community support and rural revitalization, environmental sustainability Goal With the core goal of empowering through sports and supporting a healthy China, we [aim] to promote common prosperity and better fulfill the people s aspirations for a better lifeOur Public Welfare System",ANTA_2023.txt
,aim,"BMW iFACTORY utilises innovative technologies that facilitate flexible, efficient production with the [aim] of minimising the use of resources and promoting digital solutions.",BMW_2023.txt
,aim,"With extensive research and collaboration with partners, we [aim] to have the first CO 2 free heating plant in Shenyang, achieving a reduction in emissions of 18, 000 t year by 2025.",BMW_2023.txt
,aim,Our [aim] is to minimise potable water consumption despite growing production demands.,BMW_2023.txt
,aim,"The Powertrain Plant achieved zero landfill waste in January 2023, and we [aim] to achieve zero landfill waste for all vehicle plants from 2024. in kg vehicle 20190. 520. 50 0. 12 0. 12 0. 11 2020 2021 2022 2023VOCs Emissions per vehicle produced LAND USE AND BIODIVERSITY Sustainability is inherently intertwined with environmental and ecological preservation.",BMW_2023.txt
